uuid,name,description,location,date,start_time,end_time,tags,speakers
a199ab27-5f4b-4db1-b97e-f6b468210879,Application Code of Conduct - Full Stack Policy as Code,"The increasing complexity of applications and the need for fine-grained authorization mechanisms have made it necessary to build a comprehensive policy management system that covers the entire stack. With the rise of Policy as Code, it's now possible to codify policies and enforce them at different layers of the application.

One of the biggest challenges in implementing policy as code is ensuring that the policies are consistently enforced throughout the stack, and streamlining policies across multi-functional applications and business functions. It's important to have a solution that can handle policies across the full stack, from the back-end to the front-end, while also being flexible enough to support the unique needs of different business functions.

In this talk, we'll share our journey of building a full-stack authorization solution using open-source tools such as Rego and the Open Policy Agent. We'll show how we used these tools to build an open-source administration layer, run sidecars in applications, and integrate with the front-end using CASL to enforce policies in the web app. Come and learn about our experience and how you can implement a similar solution for your applications.",Room 101,2024-08-28,09:45:00,10:45:00,"['full stack', 'Intermediate', 'Intermediate']",['Allison Lyons']
62d09cc5-5efd-451f-8339-d6f0fd4810a4,Automated information extraction with Azure Form Recognizer,"In today's digital age, data extraction is an essential part of many businesses' processes. However, manually extracting data from forms and documents can be a time-consuming and error-prone task. Thats where tools like Azure Form Recognizer come in; by integrating machine learning technology into a cloud service Azure Form Recognizer allows you to extract key-value pairs and tables from structured and semi-structured forms and documents. 
In this talk, we will explore the out of the box models that Form Recognizer offers, we will then walk through the process of creating a custom model and will finish by putting it all together in a demo application. Whether you are new to Azure Form Recognizer or looking to optimize your current data extraction workflows, this presentation will provide you with the knowledge and resources to get started and streamline your data extraction processes.
",Room 102,2024-08-28,09:45:00,10:45:00,"['data extraction', 'Introductory and overview']",['Everest Woodward']
8be4e893-ee8c-4223-aa1d-85af92a40ab1,Disrupting Culture: Building a Strong Culture for Success in an Age of Generational Shifts,"In this session, we will explore how to build a healthy and productive culture from scratch. We will also discuss how to change an unhealthy or unproductive culture. We'll delve into the impact of generational shifts and how organizations can adapt to meet the changing needs of their employees.

We'll show how organizations can build stronger connections with their employees and customers. Our goal is to provide valuable insights and practical tips for building a culture that will thrive in an age of generational shifts.

This session is perfect for CEOs, HR professionals, or anyone interested in the future of work. Join us for an engaging and thought-provoking discussion on the future of work and the role of culture in shaping it.",Room 103,2024-08-28,09:45:00,10:45:00,"['organizational culture', 'ceo', 'hr', 'leadership', 'Advanced']",['Drew Olson']
8bdd708d-d804-4fd1-8df6-f5312bdc8f3e,Deploying your JS App Anywhere with .NET MAUI,"As a JS girl in a .NET World, I have recently started learning the power of MAUI. MAUI is a .NET framework used for creating native mobile and desktop apps. I learned how to utilize a WebView inside a .NET MAUI application to wrap any sort of web app I desired (Angular, React, Vue, you name it!) and deploy it with the power of MAUI to any platform under the sun. Im excited to show you how to do this — bridging two worlds has never been more fun!",Room 105,2024-08-28,09:45:00,10:45:00,"['.net maui', 'web app', 'Introductory and overview']",['Sawyer Roberts']
ec458a69-955d-4422-ac6a-85bffebb51fb,The Immutable Laws of Software and Life: Code Accordingly,"The first Law of Ecology: you can never merely do one thing. Actions have side-effects. In this session, we'll explore how changes in software design can have unexpected, profound impacts. In this story-based session, I'll reference both popular and little-known ""laws"" of computing and life. I'll show how to use these laws to write better software. This session will give you new mental models for thinking about the tradeoffs we make in software...and life. ",Grand Ballroom A,2024-08-28,11:00:00,12:00:00,"['software engineering', 'software design', 'Intermediate']",['Cyrus Watson']
afbc128e-0f23-4400-8ff2-c5df5e05b970,Codespaces: Life is too short for local environments!,"Use the tools you love, start developing faster and accelerate onboarding for teammates - come learn how to get started with a cloud-based development environment with GitHub Codespaces. We'll cover how to control access, manage secrets and more.",Grand Ballroom B,2024-08-28,11:00:00,12:00:00,"['access control', 'cloud', 'Introductory and overview']",['Easton Schultz']
6491549e-b412-4e88-9456-95a4b5d370c0,Agile Project Management 101: Optimize Your Team's Performance with Azure DevOps,"Learn how to optimize your team's Agile project management process with Azure DevOps. In this talk, I'll walk you through the basics of setting up and running a scrum team with Azure DevOps.

I'll walk you through my process for setting up a team, building a backlog and facilitating a new project. Whether you're new to Agile or an experienced practitioner, this session is designed to provide practical tips to help take your team's productivity to the next level.",Junior Ballroom B,2024-08-28,11:00:00,12:00:00,"['agile', 'azure', 'Introductory and overview']",['Jacob Boyle']
f09b78ee-2874-41a1-afd6-6dc2e1239a79,Packaging your world with NuGet,"Whether you are creating an open source library or building enterprise app core components, you need to get that functionality into other projects. But developing these resources is usually easier than consuming them. How about a worry free way to distribute and reference those resources in your project that will let you stay up to date, but allow you to avoid problems that may introduce breaking changes or new bugs? NuGet packages to the rescue! We'll also take a look at where you can find NuGet (packages aren't just for code any more) and how to create, distribute, and maintain your very own package. Then, youll be ready to share your package with your team, your enterprise, or even The world!",Junior Ballroom D,2024-08-28,11:00:00,12:00:00,"['NuGet', 'Intermediate']",['Odin Carpenter']
33640c8d-1fe9-4aa3-92bc-365f78f010ea,Code Hoarders: Tackling Tech Debt,"It has happened to a lot of us. We join a new team, pull the code, and find a heaping steaming pile of complicated spaghetti code. When we look at the backlog, bug tickets are piling up and the product team is asking for new features. Examining the code further reveals few valuable unit tests and all integration testing is being manually performed by a separate team several time zones away. Developing in this code base is going to be risky and difficult. 


So what can we do next? In this talk I offer some tried and true advice for how to begin cleaning up technical debt, how to strategize where to start building up robust test suites and how to implement guard rails to prevent further build up of code that does not meet your teams coding standards. We will discuss how to create a shared understanding of code excellence amongst your teams, how to enforce good coding practices, and which tools we can leverage to enforce these standards. We will cover how to develop strategies that can be built into our daily coding practices that will intentionally reduce technical debt. And finally, we will discuss how to talk about technical debt with non-technical leaders and how to provide tangible metrics to help prove the value of reducing tech debt in our applications to both developers and end users.
",Room D1,2024-08-28,11:00:00,12:00:00,"['coding prctices', 'development strategies', 'Introductory and overview']",['Lilly Farmer']
5e710950-52e5-4f1f-8195-795486b02685,"Do You Even IaC, Brah? Use Bicep for Huge Gains in Azure!","Show up with confidence to your next deployment war room by defining your infrastructure as code. You've already put in the reps testing every aspect of the infrastructure in dev. Your swole PRs have been viewed and vetted. Now, the only thing left is to kick it into beast mode and run the deployment script, no spotter required.

Join us as we explore Bicep, Microsoft's latest IaC tool for Azure. We'll discuss what it is, why it was created, how it's different from other popular IaC tools and see how it can be used to stand up a simple application. ",Room D2,2024-08-28,11:00:00,12:00:00,"['azure', 'IaC', 'DevOps', 'Intermediate']","['Jamison Whitney', 'Madalynn Burch']"
